职工号	姓名	基本工资		职务工资		津贴	医疗保险		公积金	水电费	应发工资		实发工资
1	张望	4286		1246		398	189		235	165	5930		5341
2	李明	3185		628		335	94		114	270	4148		3670
3	王小明	2895		738		298	164		173	130	3931		3464
4	张效章	3550		568		210	156		150	151	4328		3871
5	彭山	2745		1398		284	161		168	68	4427		4030
6	余骏漩	3000		1200		322	200		150	66	4522		4106
7	余漩	1000		2333		23	2333		322	333	3356		368
8	张三	800		200		300	400		500	200	1300		200
9	李四	4000		300		233	133		223	233	4533		3944
10	余璇	1223		12313		12334	232		21	333	25870		25284
11	余欣书	2000		300		300	200		100	300	2600		2000
